timestamp,asset,ticker,bid_cents,ask_cents,spread_cents,mid_cents,depth_yes,depth_no,volume_24h,open_interest,seconds_to_expiry,book_initialized,liquidity
2026-05-29T23:04:19.413362+00:00,BTC,KXBTC15M,,,,,,,,,,False,UNKNOWN
2026-05-29T23:04:19.413362+00:00,ETH,KXETH15M,,,,,,,,,,False,UNKNOWN
2026-05-29T23:04:19.413362+00:00,SOL,KXSOL15M,,,,,,,,,,False,UNKNOWN
2026-05-29T23:04:19.413362+00:00,XRP,KXXRP15M,,,,,,,,,,False,UNKNOWN
2026-05-29T23:04:19.413362+00:00,DOGE,KXDOGE15M,,,,,,,,,,False,UNKNOWN
2026-05-29T23:04:34.421655+00:00,BTC,KXBTC15M,,,,,,,,,,False,UNKNOWN
2026-05-29T23:04:34.421655+00:00,ETH,KXETH15M,,,,,,,,,,False,UNKNOWN
2026-05-29T23:04:34.421655+00:00,SOL,KXSOL15M,,,,,,,,,,False,UNKNOWN
2026-05-29T23:04:34.421655+00:00,XRP,KXXRP15M,,,,,,,,,,False,UNKNOWN
2026-05-29T23:04:34.421655+00:00,DOGE,KXDOGE15M,,,,,,,,,,False,UNKNOWN
2026-05-29T23:04:49.437078+00:00,BTC,KXBTC15M,,,,,,,,,,False,UNKNOWN
2026-05-29T23:04:49.437078+00:00,ETH,KXETH15M,,,,,,,,,,False,UNKNOWN
2026-05-29T23:04:49.437078+00:00,SOL,KXSOL15M,,,,,,,,,,False,UNKNOWN
2026-05-29T23:04:49.437078+00:00,XRP,KXXRP15M,,,,,,,,,,False,UNKNOWN
2026-05-29T23:04:49.437078+00:00,DOGE,KXDOGE15M,,,,,,,,,,False,UNKNOWN
2026-05-29T23:05:04.456821+00:00,BTC,KXBTC15M,,,,,,,,,,False,UNKNOWN
2026-05-29T23:05:04.456821+00:00,ETH,KXETH15M,,,,,,,,,,False,UNKNOWN
2026-05-29T23:05:04.456821+00:00,SOL,KXSOL15M,,,,,,,,,,False,UNKNOWN
2026-05-29T23:05:04.456821+00:00,XRP,KXXRP15M,,,,,,,,,,False,UNKNOWN
2026-05-29T23:05:04.456821+00:00,DOGE,KXDOGE15M,,,,,,,,,,False,UNKNOWN
