timestamp,asset,spot_price,source,age_ms
2026-05-30T00:19:57.110513+00:00,DOGE,0.09964,coinbase,
2026-05-30T00:20:12.125894+00:00,BTC,73386.855,coinbase,
2026-05-30T00:20:12.125894+00:00,ETH,2011.705,coinbase,
2026-05-30T00:20:12.125894+00:00,SOL,82.065,coinbase,
2026-05-30T00:20:12.125894+00:00,XRP,1.33395,coinbase,
2026-05-30T00:20:12.125894+00:00,DOGE,0.09957,coinbase,
2026-05-30T00:20:27.144465+00:00,BTC,73392.575,coinbase,
2026-05-30T00:20:27.144465+00:00,ETH,2011.855,coinbase,
2026-05-30T00:20:27.144465+00:00,SOL,82.015,coinbase,
2026-05-30T00:20:27.144465+00:00,XRP,1.3332,coinbase,
2026-05-30T00:20:27.144465+00:00,DOGE,0.099565,coinbase,
2026-05-30T00:20:42.158450+00:00,BTC,73394.315,coinbase,
2026-05-30T00:20:42.158450+00:00,ETH,2011.965,coinbase,
2026-05-30T00:20:42.158450+00:00,SOL,82.025,coinbase,
2026-05-30T00:20:42.158450+00:00,XRP,1.33315,coinbase,
2026-05-30T00:20:42.158450+00:00,DOGE,0.09956,coinbase,
2026-05-30T00:20:57.173547+00:00,BTC,73417.625,coinbase,
2026-05-30T00:20:57.173547+00:00,ETH,2012.515,coinbase,
2026-05-30T00:20:57.173547+00:00,SOL,82.055,coinbase,
2026-05-30T00:20:57.173547+00:00,XRP,1.33315,coinbase,
2026-05-30T00:20:57.173547+00:00,DOGE,0.099605,coinbase,
2026-05-30T00:21:12.190220+00:00,BTC,73427.625,coinbase,
2026-05-30T00:21:12.190220+00:00,ETH,2013.18,coinbase,
2026-05-30T00:21:12.190220+00:00,SOL,82.09,coinbase,
2026-05-30T00:21:12.190220+00:00,XRP,1.33385,coinbase,
2026-05-30T00:21:12.190220+00:00,DOGE,0.09964,coinbase,
2026-05-30T00:21:27.224067+00:00,BTC,73419.485,coinbase,
2026-05-30T00:21:27.224067+00:00,ETH,2012.915,coinbase,
2026-05-30T00:21:27.224067+00:00,SOL,82.07,coinbase,
2026-05-30T00:21:27.224067+00:00,XRP,1.33305,coinbase,
2026-05-30T00:21:27.224067+00:00,DOGE,0.099625,coinbase,
2026-05-30T00:21:42.586853+00:00,BTC,73422.065,coinbase,
2026-05-30T00:21:42.586853+00:00,ETH,2012.915,coinbase,
2026-05-30T00:21:42.586853+00:00,SOL,82.085,coinbase,
2026-05-30T00:21:42.586853+00:00,XRP,1.33375,coinbase,
2026-05-30T00:21:42.586853+00:00,DOGE,0.099655,coinbase,
2026-05-30T00:21:57.588184+00:00,BTC,73411.915,coinbase,
2026-05-30T00:21:57.588184+00:00,ETH,2012.915,coinbase,
2026-05-30T00:21:57.588184+00:00,SOL,82.085,coinbase,
2026-05-30T00:21:57.588184+00:00,XRP,1.33415,coinbase,
2026-05-30T00:21:57.588184+00:00,DOGE,0.099655,coinbase,
2026-05-30T00:22:12.639546+00:00,BTC,73417.455,coinbase,
2026-05-30T00:22:12.639546+00:00,ETH,2012.425,coinbase,
2026-05-30T00:22:12.639546+00:00,SOL,82.085,coinbase,
2026-05-30T00:22:12.639546+00:00,XRP,1.33375,coinbase,
2026-05-30T00:22:12.639546+00:00,DOGE,0.09965,coinbase,
2026-05-30T00:22:27.861755+00:00,BTC,73392.585,coinbase,
2026-05-30T00:22:27.861755+00:00,ETH,2012.155,coinbase,
2026-05-30T00:22:27.861755+00:00,SOL,82.065,coinbase,
2026-05-30T00:22:27.861755+00:00,XRP,1.33315,coinbase,
2026-05-30T00:22:27.861755+00:00,DOGE,0.09963,coinbase,
2026-05-30T00:22:43.138400+00:00,BTC,73402.355,coinbase,
2026-05-30T00:22:43.138400+00:00,ETH,2012.305,coinbase,
2026-05-30T00:22:43.138400+00:00,SOL,82.085,coinbase,
2026-05-30T00:22:43.138400+00:00,XRP,1.33315,coinbase,
2026-05-30T00:22:43.138400+00:00,DOGE,0.099615,coinbase,
2026-05-30T00:22:58.402385+00:00,BTC,73397.8,coinbase,
2026-05-30T00:22:58.402385+00:00,ETH,2012.125,coinbase,
2026-05-30T00:22:58.402385+00:00,SOL,82.07,coinbase,
2026-05-30T00:22:58.402385+00:00,XRP,1.33175,coinbase,
2026-05-30T00:22:58.402385+00:00,DOGE,0.09959,coinbase,
2026-05-30T00:23:13.418735+00:00,BTC,73403.565,coinbase,
2026-05-30T00:23:13.418735+00:00,ETH,2012.125,coinbase,
2026-05-30T00:23:13.418735+00:00,SOL,82.075,coinbase,
2026-05-30T00:23:13.418735+00:00,XRP,1.33175,coinbase,
2026-05-30T00:23:13.418735+00:00,DOGE,0.099585,coinbase,
2026-05-30T00:23:28.436258+00:00,BTC,73403.445,coinbase,
2026-05-30T00:23:28.436258+00:00,ETH,2012.395,coinbase,
2026-05-30T00:23:28.436258+00:00,SOL,82.08,coinbase,
2026-05-30T00:23:28.436258+00:00,XRP,1.33175,coinbase,
2026-05-30T00:23:28.436258+00:00,DOGE,0.099605,coinbase,
2026-05-30T00:23:43.771924+00:00,BTC,73405.585,coinbase,
2026-05-30T00:23:43.771924+00:00,ETH,2012.62,coinbase,
2026-05-30T00:23:43.771924+00:00,SOL,82.085,coinbase,
2026-05-30T00:23:43.771924+00:00,XRP,1.33195,coinbase,
2026-05-30T00:23:43.771924+00:00,DOGE,0.0996,coinbase,
2026-05-30T00:23:58.899385+00:00,BTC,73405.585,coinbase,
2026-05-30T00:23:58.899385+00:00,ETH,2012.685,coinbase,
2026-05-30T00:23:58.899385+00:00,SOL,82.095,coinbase,
2026-05-30T00:23:58.899385+00:00,XRP,1.3314,coinbase,
2026-05-30T00:23:58.899385+00:00,DOGE,0.09963,coinbase,
2026-05-30T00:24:13.901763+00:00,BTC,73405.595,coinbase,
2026-05-30T00:24:13.901763+00:00,ETH,2012.685,coinbase,
2026-05-30T00:24:13.901763+00:00,SOL,82.095,coinbase,
2026-05-30T00:24:13.901763+00:00,XRP,1.3313,coinbase,
2026-05-30T00:24:13.901763+00:00,DOGE,0.09963,coinbase,
2026-05-30T00:24:29.231736+00:00,BTC,73405.595,coinbase,
2026-05-30T00:24:29.231736+00:00,ETH,2012.595,coinbase,
2026-05-30T00:24:29.231736+00:00,SOL,82.095,coinbase,
2026-05-30T00:24:29.231736+00:00,XRP,1.33115,coinbase,
2026-05-30T00:24:29.231736+00:00,DOGE,0.09962,coinbase,
2026-05-30T00:24:44.247926+00:00,BTC,73406.94,coinbase,
2026-05-30T00:24:44.247926+00:00,ETH,2012.595,coinbase,
2026-05-30T00:24:44.247926+00:00,SOL,82.095,coinbase,
2026-05-30T00:24:44.247926+00:00,XRP,1.33175,coinbase,
2026-05-30T00:24:44.247926+00:00,DOGE,0.099625,coinbase,
2026-05-30T00:24:59.263016+00:00,BTC,73390.005,coinbase,
2026-05-30T00:24:59.263016+00:00,ETH,2012.025,coinbase,
2026-05-30T00:24:59.263016+00:00,SOL,82.075,coinbase,
2026-05-30T00:24:59.263016+00:00,XRP,1.33065,coinbase,
2026-05-30T00:24:59.263016+00:00,DOGE,0.099615,coinbase,
2026-05-30T00:25:14.279028+00:00,BTC,73387.515,coinbase,
2026-05-30T00:25:14.279028+00:00,ETH,2012.125,coinbase,
2026-05-30T00:25:14.279028+00:00,SOL,82.085,coinbase,
2026-05-30T00:25:14.279028+00:00,XRP,1.33075,coinbase,
2026-05-30T00:25:14.279028+00:00,DOGE,0.09964,coinbase,
2026-05-30T00:25:29.294519+00:00,BTC,73383.275,coinbase,
2026-05-30T00:25:29.294519+00:00,ETH,2012.185,coinbase,
2026-05-30T00:25:29.294519+00:00,SOL,82.085,coinbase,
2026-05-30T00:25:29.294519+00:00,XRP,1.33085,coinbase,
2026-05-30T00:25:29.294519+00:00,DOGE,0.099645,coinbase,
2026-05-30T00:25:44.313169+00:00,BTC,73406.005,coinbase,
2026-05-30T00:25:44.313169+00:00,ETH,2012.785,coinbase,
2026-05-30T00:25:44.313169+00:00,SOL,82.095,coinbase,
2026-05-30T00:25:44.313169+00:00,XRP,1.33095,coinbase,
2026-05-30T00:25:44.313169+00:00,DOGE,0.09967,coinbase,
2026-05-30T00:25:59.360564+00:00,BTC,73399.185,coinbase,
2026-05-30T00:25:59.360564+00:00,ETH,2012.505,coinbase,
2026-05-30T00:25:59.360564+00:00,SOL,82.065,coinbase,
2026-05-30T00:25:59.360564+00:00,XRP,1.33105,coinbase,
2026-05-30T00:25:59.360564+00:00,DOGE,0.09964,coinbase,
2026-05-30T00:26:14.375842+00:00,BTC,73392.995,coinbase,
2026-05-30T00:26:14.375842+00:00,ETH,2012.205,coinbase,
