[2026-06-05 21:21:16.314502+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:21:17.076589+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:21:20.726607+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:21:20.812711+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:21:21.374270+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:21:22.091019+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:21:25.779031+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:21:25.831501+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:21:26.395025+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:21:27.143982+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:21:30.848292+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:21:30.873608+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:21:31.483425+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:21:32.155505+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:21:35.873097+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:21:35.888874+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:21:36.524237+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:21:37.172753+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:21:40.924661+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:21:40.970965+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:21:41.540045+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:21:42.187232+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
[2026-06-05 21:21:46.094353+00:00] [HEALTH-SNAPSHOT-API] Component availability: ws_bridge=True, spot_service=True, market_state_store=True, bankroll=True
