[2026-05-31 14:47:33.217868] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 14:50:27.010628] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 14:51:58.182262] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 14:53:17.013859] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 14:54:34.399841] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 14:56:21.989164] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 14:58:08.574468] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 14:59:58.405924] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:01:15.164980] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:02:27.906700] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:03:51.524317] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:05:32.361440] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:06:44.034632] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:08:04.052699] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:12:05.996850] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:16:53.914779] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:18:58.613247] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:26:46.840366] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:28:34.038944] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:30:47.650783] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:32:47.578992] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:34:52.354903] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:37:09.028840] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:42:05.966551] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:45:07.178481] WS-START: start() called with 6 tickers, rest_fallback_mode=False
[2026-05-31 15:47:34.039227] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:50:55.017332] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:52:46.991470] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 15:56:02.152918] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 16:10:29.635712] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 16:27:35.857665] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 16:30:09.683513] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 18:48:36.888856] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 18:58:33.247013] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 19:01:44.324938] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 19:07:26.214065] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 19:09:14.414724] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 19:10:54.206420] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 19:44:48.652630] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 20:10:04.065179] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 20:14:42.564499] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 20:22:21.438401] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 20:26:43.971523] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 20:35:59.664941] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 20:43:45.681943] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 21:07:54.132991] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 21:13:25.176373] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 21:19:53.485593] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 21:23:58.009461] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 21:37:33.796232] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 21:45:48.126577] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 21:50:55.105041] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 21:57:35.662586] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 22:10:42.157418] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 22:14:00.764033] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 22:17:21.381669] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-05-31 22:21:53.864197] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 06:37:46.357151] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 06:49:01.726786] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 07:02:43.819837] WS-START: start() called with 5 tickers, rest_fallback_mode=True
[2026-06-01 07:02:43.886905] WS-FALLBACK: Entered REST fallback block with 5 tickers
[2026-06-01 07:02:43.887847] WS-FALLBACK: Client and store initialized successfully
[2026-06-01 07:02:43.888848] WS-FALLBACK: Starting initial REST orderbook fetch for 5 tickers
[2026-06-01 07:02:43.890525] WS-FALLBACK: Fetching orderbook for ticker=KXBTC15M-26JUN010715-15
[2026-06-01 07:02:44.387783] WS-FALLBACK: Got orderbook for ticker=KXBTC15M-26JUN010715-15, orderbook=True
[2026-06-01 07:02:44.396782] WS-FALLBACK: Fetching orderbook for ticker=KXDOGE15M-26JUN010715-15
[2026-06-01 07:02:44.582897] WS-FALLBACK: Got orderbook for ticker=KXDOGE15M-26JUN010715-15, orderbook=True
[2026-06-01 07:02:44.592603] WS-FALLBACK: Fetching orderbook for ticker=KXETH15M-26JUN010715-15
[2026-06-01 07:02:44.854429] WS-FALLBACK: Got orderbook for ticker=KXETH15M-26JUN010715-15, orderbook=True
[2026-06-01 07:02:44.926782] WS-FALLBACK: Fetching orderbook for ticker=KXSOL15M-26JUN010715-15
[2026-06-01 07:02:45.021136] WS-FALLBACK: Got orderbook for ticker=KXSOL15M-26JUN010715-15, orderbook=True
[2026-06-01 07:02:45.025924] WS-FALLBACK: Fetching orderbook for ticker=KXXRP15M-26JUN010715-15
[2026-06-01 07:02:45.099593] WS-FALLBACK: Got orderbook for ticker=KXXRP15M-26JUN010715-15, orderbook=True
[2026-06-01 07:02:45.104673] WS-FALLBACK: Initial REST orderbook fetch loop completed
[2026-06-01 07:02:45.105273] WS-FALLBACK: Set _subscribed_tickers to 5 tickers
[2026-06-01 07:02:45.105858] WS-FALLBACK: REST polling will be handled by main_15m_lean.py refresh mechanism
[2026-06-01 07:20:36.966749] WS-START: start() called with 5 tickers, rest_fallback_mode=True
[2026-06-01 07:20:37.050022] WS-FALLBACK: Entered REST fallback block with 5 tickers
[2026-06-01 07:20:37.051543] WS-FALLBACK: Client and store initialized successfully
[2026-06-01 07:20:37.052543] WS-FALLBACK: Starting initial REST orderbook fetch for 5 tickers
[2026-06-01 07:20:37.052543] WS-FALLBACK: Fetching orderbook for ticker=KXBTC15M-26JUN010730-30
[2026-06-01 07:20:37.775300] WS-FALLBACK: Got orderbook for ticker=KXBTC15M-26JUN010730-30, orderbook=True
[2026-06-01 07:20:37.786131] WS-FALLBACK: Fetching orderbook for ticker=KXDOGE15M-26JUN010730-30
[2026-06-01 07:20:37.862695] WS-FALLBACK: Got orderbook for ticker=KXDOGE15M-26JUN010730-30, orderbook=True
[2026-06-01 07:20:37.878279] WS-FALLBACK: Fetching orderbook for ticker=KXETH15M-26JUN010730-30
[2026-06-01 07:20:37.985273] WS-FALLBACK: Got orderbook for ticker=KXETH15M-26JUN010730-30, orderbook=True
[2026-06-01 07:20:38.051330] WS-FALLBACK: Fetching orderbook for ticker=KXSOL15M-26JUN010730-30
[2026-06-01 07:20:38.144807] WS-FALLBACK: Got orderbook for ticker=KXSOL15M-26JUN010730-30, orderbook=True
[2026-06-01 07:20:38.155101] WS-FALLBACK: Fetching orderbook for ticker=KXXRP15M-26JUN010730-30
[2026-06-01 07:20:38.255170] WS-FALLBACK: Got orderbook for ticker=KXXRP15M-26JUN010730-30, orderbook=True
[2026-06-01 07:20:38.374879] WS-FALLBACK: Initial REST orderbook fetch loop completed
[2026-06-01 07:20:38.375879] WS-FALLBACK: Set _subscribed_tickers to 5 tickers
[2026-06-01 07:20:38.377879] WS-FALLBACK: REST polling will be handled by main_15m_lean.py refresh mechanism
[2026-06-01 07:23:53.315314] WS-START: start() called with 5 tickers, rest_fallback_mode=True
[2026-06-01 07:23:53.317231] WS-FALLBACK: Entered REST fallback block with 5 tickers
[2026-06-01 07:23:53.320691] WS-FALLBACK: Client and store initialized successfully
[2026-06-01 07:23:53.322291] WS-FALLBACK: Starting initial REST orderbook fetch for 5 tickers
[2026-06-01 07:23:53.322291] WS-FALLBACK: Fetching orderbook for ticker=KXBTC15M-26JUN010730-30
[2026-06-01 07:23:53.788789] WS-FALLBACK: Got orderbook for ticker=KXBTC15M-26JUN010730-30, orderbook=True
[2026-06-01 07:23:53.889880] WS-FALLBACK: Fetching orderbook for ticker=KXDOGE15M-26JUN010730-30
[2026-06-01 07:23:53.987975] WS-FALLBACK: Got orderbook for ticker=KXDOGE15M-26JUN010730-30, orderbook=True
[2026-06-01 07:23:53.997790] WS-FALLBACK: Fetching orderbook for ticker=KXETH15M-26JUN010730-30
[2026-06-01 07:23:54.164558] WS-FALLBACK: Got orderbook for ticker=KXETH15M-26JUN010730-30, orderbook=True
[2026-06-01 07:23:54.174071] WS-FALLBACK: Fetching orderbook for ticker=KXSOL15M-26JUN010730-30
[2026-06-01 07:23:54.259814] WS-FALLBACK: Got orderbook for ticker=KXSOL15M-26JUN010730-30, orderbook=True
[2026-06-01 07:23:54.266700] WS-FALLBACK: Fetching orderbook for ticker=KXXRP15M-26JUN010730-30
[2026-06-01 07:23:54.342638] WS-FALLBACK: Got orderbook for ticker=KXXRP15M-26JUN010730-30, orderbook=True
[2026-06-01 07:23:54.350142] WS-FALLBACK: Initial REST orderbook fetch loop completed
[2026-06-01 07:23:54.350719] WS-FALLBACK: Set _subscribed_tickers to 5 tickers
[2026-06-01 07:23:54.352662] WS-FALLBACK: REST polling will be handled by main_15m_lean.py refresh mechanism
[2026-06-01 07:30:12.694618] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 07:39:56.191669] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 07:47:37.648489] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 07:49:59.514673] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 07:55:25.682117] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 07:57:33.016275] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 08:02:38.232405] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 08:06:00.400685] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 08:09:00.360354] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 08:11:57.359574] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 08:18:40.910478] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 08:20:54.175894] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 08:22:28.317094] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 08:24:44.687912] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 08:28:09.547950] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 08:31:27.135934] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 08:36:34.570140] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 08:38:55.136387] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 08:41:26.043919] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 08:44:13.195116] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 08:46:16.145385] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 08:49:33.924252] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 08:51:27.947717] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 08:53:37.001673] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 10:53:23.313539] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 10:56:45.203048] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 11:08:45.818349] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 11:10:14.534767] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 11:12:16.303038] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 11:14:20.262698] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 11:20:12.378590] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 11:22:43.093224] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 11:24:49.087952] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 11:26:36.765802] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 11:28:25.093749] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 11:30:14.757662] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 11:32:25.664104] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 11:36:11.569427] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 11:40:28.655200] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 11:45:13.453612] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 12:24:52.652020] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 12:29:16.903274] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 12:32:51.977399] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 12:37:46.332224] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 12:43:00.073324] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 12:46:03.250097] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 12:47:58.826873] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 12:49:45.181893] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 12:52:00.443045] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 12:54:37.804375] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 12:56:28.933946] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 12:58:30.016971] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 13:01:30.948892] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 13:03:26.194162] WS-START: start() called with 5 tickers, rest_fallback_mode=False
[2026-06-01 13:07:21.692360] WS-START: start() called with 5 tickers, rest_fallback_mode=False
