fill_id,order_id,market_ticker,side,action,quantity,price,yes_price,no_price,total_cost,fee,net_cost,created_time,asset,is_taker
2d5e305e-69d6-4e84-a226-0841561a89cd,43752e2a-837e-41f6-84c2-d0efc247d368,KXXRP15M-26AUG011315-15,yes,buy,1,0.42,0.42,0.58,0.42,0.0171,0.4371,2026-08-01T17:11:49.879465+00:00,XRP,False
d85805d5-6785-6155-9f75-f7567e28254e,0c99a40a-ba24-4693-b607-5e8ddbf2818e,KXDOGE15M-26AUG011315-15,yes,buy,1,0.46,0.46,0.54,0.46,0.0,0.46,2026-08-01T17:11:15.672992+00:00,DOGE,False
4d12fc8b-3134-7a98-41f2-5e4394e6e0df,37d15bb6-7d39-4b1a-ad4b-0e3c820b09ff,KXSOL15M-26AUG011315-15,yes,buy,1,0.22,0.22,0.78,0.22,0.0,0.22,2026-08-01T17:11:10.698968+00:00,SOL,False
841dd53b-a659-63bf-b027-6ca6537fafa5,c5244c84-3473-4828-863b-7f49773877d6,KXETH15M-26AUG011315-15,yes,buy,1,0.29,0.29,0.71,0.29,0.0145,0.3045,2026-08-01T17:11:03.467218+00:00,ETH,False
