timestamp,open,high,low,close,volume
2026-05-03 16:00:00+00:00,84.14,84.2,84.05,84.05,740.73892295
2026-05-03 16:15:00+00:00,84.05,84.14,83.99,84.14,242.88622746
2026-05-03 16:30:00+00:00,84.13,84.26,84.12,84.19,664.24237137
2026-05-03 16:45:00+00:00,84.17,84.18,84.12,84.13,132.92644893
2026-05-03 17:00:00+00:00,84.13,84.19,83.99,84.17,486.89614998
2026-05-03 17:15:00+00:00,84.19,84.3,84.19,84.21,341.33490802
2026-05-03 17:30:00+00:00,84.21,84.3,84.21,84.25,249.7490404
2026-05-03 17:45:00+00:00,84.25,84.25,84.16,84.19,250.38877848
2026-05-03 18:00:00+00:00,84.18,84.2,84.15,84.16,200.93560086
2026-05-03 18:15:00+00:00,84.15,84.25,84.13,84.21,2538.7826991
2026-05-03 18:30:00+00:00,84.21,84.21,84.13,84.21,265.93065978
2026-05-03 18:45:00+00:00,84.21,84.31,84.2,84.26,641.61758654
2026-05-03 19:00:00+00:00,84.26,84.32,84.23,84.24,5456.22165563
2026-05-03 19:15:00+00:00,84.25,84.3,84.24,84.3,1229.83512884
2026-05-03 19:30:00+00:00,84.29,84.42,84.28,84.42,3207.32334968
2026-05-03 19:45:00+00:00,84.41,84.42,84.34,84.34,457.41972987
2026-05-03 20:00:00+00:00,84.36,84.42,84.34,84.36,461.84450869
2026-05-03 20:15:00+00:00,84.33,84.55,84.32,84.49,1549.72389921
2026-05-03 20:30:00+00:00,84.49,84.68,84.42,84.43,5396.52082682
2026-05-03 20:45:00+00:00,84.42,84.47,84.25,84.32,507.15700514
2026-05-03 21:00:00+00:00,84.33,84.45,84.24,84.43,577.90152703
2026-05-03 21:15:00+00:00,84.45,84.45,84.29,84.31,518.0183741
2026-05-03 21:30:00+00:00,84.31,84.37,83.9,83.95,1868.57270494
2026-05-03 21:45:00+00:00,83.97,84.14,83.89,84.13,1826.85253245
2026-05-03 22:00:00+00:00,84.13,84.8,84.13,84.79,4033.10138942
2026-05-03 22:15:00+00:00,84.8,85.05,84.48,84.59,23170.93153595
2026-05-03 22:30:00+00:00,84.58,84.79,84.46,84.74,1151.14381681
2026-05-03 22:45:00+00:00,84.74,84.82,84.62,84.68,677.4670153
2026-05-03 23:00:00+00:00,84.67,84.78,84.5,84.54,282.61785433
2026-05-03 23:15:00+00:00,84.54,84.54,83.96,84.06,1187.76158018
