timestamp,open,high,low,close,volume
2026-05-03 16:00:00+00:00,1.39571,1.39623,1.3941,1.39465,11598.68789522
2026-05-03 16:15:00+00:00,1.39463,1.3953,1.39406,1.39513,13275.21207855
2026-05-03 16:30:00+00:00,1.39513,1.39785,1.39512,1.39613,14271.03242785
2026-05-03 16:45:00+00:00,1.3961,1.39632,1.39424,1.39424,12555.61929113
2026-05-03 17:00:00+00:00,1.3943,1.39514,1.39251,1.39496,21747.81054123
2026-05-03 17:15:00+00:00,1.3949,1.39632,1.3949,1.39502,31950.39467947
2026-05-03 17:30:00+00:00,1.39501,1.39633,1.39467,1.39603,19965.16030704
2026-05-03 17:45:00+00:00,1.39603,1.39603,1.39423,1.39465,52255.55973151
2026-05-03 18:00:00+00:00,1.39503,1.39504,1.39395,1.39467,17545.1434653
2026-05-03 18:15:00+00:00,1.39461,1.39526,1.39341,1.39434,21130.85812202
2026-05-03 18:30:00+00:00,1.39451,1.3946,1.3934,1.39396,5804.92330219
2026-05-03 18:45:00+00:00,1.39372,1.39499,1.39372,1.39395,6019.48938943
2026-05-03 19:00:00+00:00,1.39397,1.39489,1.39339,1.39359,12895.81830418
2026-05-03 19:15:00+00:00,1.39366,1.39488,1.39338,1.39474,50804.6663643
2026-05-03 19:30:00+00:00,1.39477,1.39736,1.39477,1.39596,314643.14221239
2026-05-03 19:45:00+00:00,1.39596,1.39613,1.39493,1.39506,10356.33250454
2026-05-03 20:00:00+00:00,1.39491,1.39539,1.39367,1.39372,14821.44856974
2026-05-03 20:15:00+00:00,1.39361,1.39526,1.39234,1.39488,19307.82405396
2026-05-03 20:30:00+00:00,1.39498,1.39921,1.39459,1.39599,313987.27089687
2026-05-03 20:45:00+00:00,1.39611,1.39629,1.39214,1.39296,40693.05567253
2026-05-03 21:00:00+00:00,1.39309,1.3955,1.39203,1.39548,16691.46237117
2026-05-03 21:15:00+00:00,1.3955,1.39559,1.39286,1.39336,27127.03399123
2026-05-03 21:30:00+00:00,1.39332,1.39409,1.38955,1.38968,43546.17232196
2026-05-03 21:45:00+00:00,1.3896,1.39188,1.38894,1.39177,37030.1697346
2026-05-03 22:00:00+00:00,1.39177,1.40206,1.39177,1.40098,176232.65247873
2026-05-03 22:15:00+00:00,1.40173,1.40404,1.39739,1.39776,169295.19717943
2026-05-03 22:30:00+00:00,1.398,1.4,1.39657,1.39983,12294.2310496
2026-05-03 22:45:00+00:00,1.4,1.40129,1.39725,1.39751,56348.90496778
2026-05-03 23:00:00+00:00,1.39771,1.40081,1.39708,1.39734,21825.43925247
2026-05-03 23:15:00+00:00,1.39738,1.39765,1.38923,1.38967,59296.78235749
2026-05-03 23:30:00+00:00,1.38937,1.39107,1.38834,1.38875,21175.58092479
2026-05-03 23:45:00+00:00,1.3884,1.3884,1.3871,1.38763,32386.88400649
2026-05-04 00:00:00+00:00,1.38764,1.38879,1.38518,1.38742,66821.44106639
2026-05-04 00:15:00+00:00,1.38743,1.38743,1.38314,1.38564,90328.72047574
2026-05-04 00:30:00+00:00,1.38564,1.38631,1.38334,1.38385,17596.2189483
2026-05-04 00:45:00+00:00,1.38438,1.38875,1.384,1.38836,217288.35321988
2026-05-04 01:00:00+00:00,1.3885,1.39049,1.38485,1.38557,30371.09580495
2026-05-04 01:15:00+00:00,1.38618,1.3868,1.3836,1.3868,33630.01203609
2026-05-04 01:30:00+00:00,1.38673,1.40022,1.38673,1.39149,211332.40332854
2026-05-04 01:45:00+00:00,1.39069,1.40656,1.39069,1.40455,372442.52800995
2026-05-04 02:00:00+00:00,1.4049,1.41144,1.40099,1.40576,581113.2469661
2026-05-04 02:15:00+00:00,1.40613,1.40965,1.40282,1.40524,121641.87799246
2026-05-04 02:30:00+00:00,1.4057,1.413,1.40555,1.41133,193249.12862238
2026-05-04 02:45:00+00:00,1.41152,1.41484,1.40934,1.41023,116537.73550417
2026-05-04 03:00:00+00:00,1.41034,1.4144,1.40891,1.41327,252667.63344719
2026-05-04 03:15:00+00:00,1.4133,1.4133,1.40884,1.4098,120992.78756972
2026-05-04 03:30:00+00:00,1.4099,1.41147,1.40766,1.41147,333373.03785264
2026-05-04 03:45:00+00:00,1.41124,1.41328,1.40916,1.41234,74361.46959109
2026-05-04 04:00:00+00:00,1.41295,1.41518,1.41269,1.41465,62096.82069931
2026-05-04 04:15:00+00:00,1.41518,1.4199,1.41518,1.4169,468687.33610288
2026-05-04 04:30:00+00:00,1.4169,1.41886,1.41657,1.41728,98579.96164377
2026-05-04 04:45:00+00:00,1.41751,1.41827,1.41485,1.41597,125224.63048968
2026-05-04 05:00:00+00:00,1.41598,1.41709,1.41356,1.41356,153644.1719615
2026-05-04 05:15:00+00:00,1.41371,1.41376,1.41105,1.41139,56843.0736429
2026-05-04 05:30:00+00:00,1.41082,1.41428,1.41068,1.41367,220079.41370981
2026-05-04 05:45:00+00:00,1.41365,1.41365,1.41159,1.41179,20969.44161186
2026-05-04 06:00:00+00:00,1.41178,1.4123,1.40871,1.41123,1009225.44354046
2026-05-04 06:15:00+00:00,1.41037,1.41069,1.40224,1.4046,228480.30377996
2026-05-04 06:30:00+00:00,1.4046,1.40838,1.4046,1.40807,13410.26716541
2026-05-04 06:45:00+00:00,1.40872,1.41099,1.4078,1.40919,74409.63821942
2026-05-04 07:00:00+00:00,1.4091,1.41222,1.40769,1.41222,23414.7489662
2026-05-04 07:15:00+00:00,1.41307,1.41308,1.4109,1.41103,9209.04679734
2026-05-04 07:30:00+00:00,1.41101,1.4116,1.40951,1.41038,6845.6640877
2026-05-04 07:45:00+00:00,1.41128,1.4139,1.41009,1.4102,15869.83888053
2026-05-04 08:00:00+00:00,1.4102,1.41172,1.40722,1.41172,22083.33572047
2026-05-04 08:15:00+00:00,1.41178,1.41178,1.41038,1.411,89875.29297548
2026-05-04 08:30:00+00:00,1.41113,1.41216,1.40998,1.40998,8497.57583413
